STCOUNTYFP,County,State,2004_GDP,2005_GDP
01001,Autauga,AL,1170278,1195319
01003,Baldwin,AL,4912303,5502688
01005,Barbour,AL,888479,892271
01007,Bibb,AL,324760,322815
01009,Blount,AL,863041,887578
01011,Bullock,AL,236364,234789
01013,Butler,AL,492437,487731
01015,Calhoun,AL,4032708,4275113
01017,Chambers,AL,864369,825600
01019,Cherokee,AL,439789,432971
01021,Chilton,AL,735488,757322
01023,Choctaw,AL,611959,682296
01025,Clarke,AL,741440,779657
01027,Clay,AL,333898,373011
01029,Cleburne,AL,278398,294254
01031,Coffee,AL,1099644,1145119
01033,Colbert,AL,2241309,2311806
01035,Conecuh,AL,328075,383717
01037,Coosa,AL,166457,180892
01039,Covington,AL,1088752,1079717
01041,Crenshaw,AL,306679,367877
01043,Cullman,AL,2287461,2412173
01045,Dale,AL,2247078,2497578
01047,Dallas,AL,1290680,1355134
01049,DeKalb,AL,1851815,1825508
01051,Elmore,AL,1414722,1493377
01053,Escambia,AL,1228510,1318124
01055,Etowah,AL,2883531,2925703
01057,Fayette,AL,394819,407434
01059,Franklin,AL,856246,888789
01061,Geneva,AL,487461,519897
01063,Greene,AL,375138,390369
01065,Hale,AL,330305,347372
01067,Henry,AL,344899,374767
01069,Houston,AL,4217739,4283885
01071,Jackson,AL,1755015,1826404
01073,Jefferson,AL,40928433,41697036
01075,Lamar,AL,343352,360305
01077,Lauderdale,AL,2362525,2440837
01079,Lawrence,AL,1073074,738194
01081,Lee,AL,3713798,3914405
01083,Limestone,AL,2677309,2770304
01085,Lowndes,AL,436046,421017
01087,Macon,AL,467962,477166
01089,Madison,AL,15481305,16462722
01091,Marengo,AL,665099,714972
01093,Marion,AL,830892,905185
01095,Marshall,AL,2800918,2870867
01097,Mobile,AL,15390687,16161820
01099,Monroe,AL,871699,919379
01101,Montgomery,AL,11906792,12474882
01103,Morgan,AL,4803202,4811994
01105,Perry,AL,194370,221165
01107,Pickens,AL,366314,396727
01109,Pike,AL,988494,1039021
01111,Randolph,AL,471353,474142
01113,Russell,AL,1120840,1147813
01115,St. Clair,AL,1420305,1483856
01117,Shelby,AL,6619941,7599599
01119,Sumter,AL,315803,336139
01121,Talladega,AL,2707672,2927930
01123,Tallapoosa,AL,1065803,1172846
01125,Tuscaloosa,AL,8846616,9361657
01127,Walker,AL,1951832,2044854
01129,Washington,AL,802696,745876
01131,Wilcox,AL,396439,420985
01133,Winston,AL,656360,701256
02013,Aleutians East Borough,AK,202213,195631
02016,Aleutians West Census Area,AK,372753,467781
02020,Anchorage Municipality,AK,17309769,18001772
02050,Bethel Census Area,AK,538939,544158
02060,Bristol Bay Borough,AK,102776,119145
02063,Chugach Census Area,AK,(NA),(NA)
02066,Copper River Census Area,AK,(NA),(NA)
02068,Denali Borough,AK,190152,197276
02070,Dillingham Census Area,AK,196020,204760
02090,Fairbanks North Star Borough,AK,5169642,5658437
02100,Haines Borough,AK,81855,87290
02105,Hoonah-Angoon Census Area,AK,(NA),(NA)
02110,Juneau City and Borough,AK,1949508,2008281
02122,Kenai Peninsula Borough,AK,2884007,2469711
02130,Ketchikan Gateway Borough,AK,691849,729700
02150,Kodiak Island Borough,AK,630873,641905
02158,Kusilvak Census Area,AK,124449,120320
02164,Lake and Peninsula Borough,AK,67296,68614
02170,Matanuska-Susitna Borough,AK,1662106,1793524
02180,Nome Census Area,AK,334173,342570
02185,North Slope Borough,AK,8785300,9317057
02188,Northwest Arctic Borough,AK,580907,587372
02195,Petersburg Borough,AK,(NA),(NA)
02198,Prince of Wales-Hyder Census Area,AK,(NA),(NA)
02201,Prince of Wales-Outer Ketchikan Census Area,AK,194861,186768
02220,Sitka City and Borough,AK,404239,417265
02230,Skagway Municipality,AK,(NA),(NA)
02232,Skagway-Hoonah-Angoon Census Area,AK,135791,137908
02240,Southeast Fairbanks Census Area,AK,357470,498870
02261,Valdez-Cordova Census Area,AK,1357754,1053594
02275,Wrangell City and Borough,AK,(NA),(NA)
02280,Wrangell-Petersburg Census Area,AK,273619,262829
02282,Yakutat City and Borough,AK,31925,32550
02290,Yukon-Koyukuk Census Area,AK,295350,288182
04001,Apache,AZ,1962899,2000348
04003,Cochise,AZ,3788897,3981115
04005,Coconino,AZ,5266064,5518909
04007,Gila,AZ,1545671,1627381
04009,Graham,AZ,613623,656423
04011,Greenlee,AZ,1349631,1710870
04012,La Paz,AZ,599884,638906
04013,Maricopa,AZ,170280673,183974768
04015,Mohave,AZ,4635056,4869271
04017,Navajo,AZ,2767545,2938663
04019,Pima,AZ,33324144,34929991
04021,Pinal,AZ,5106602,5492230
04023,Santa Cruz,AZ,1349351,1410430
04025,Yavapai,AZ,5523920,6014466
04027,Yuma,AZ,6026612,6435807
05001,Arkansas,AR,881251,839047
05003,Ashley,AR,791548,835457
05005,Baxter,AR,1022827,1094730
05007,Benton,AR,8473456,9161349
05009,Boone,AR,1089822,1140247
05011,Bradley,AR,310631,316392
05013,Calhoun,AR,355524,361423
05015,Carroll,AR,832883,841487
05017,Chicot,AR,316427,319373
05019,Clark,AR,711804,728414
05021,Clay,AR,426711,421025
05023,Cleburne,AR,508506,535805
05025,Cleveland,AR,124416,131005
05027,Columbia,AR,803980,828235
05029,Conway,AR,501350,515097
05031,Craighead,AR,3344326,3498833
05033,Crawford,AR,1436334,1512140
05035,Crittenden,AR,1474279,1513600
05037,Cross,AR,503337,462260
05039,Dallas,AR,196221,215329
05041,Desha,AR,477094,488146
05043,Drew,AR,521577,539934
05045,Faulkner,AR,2666579,2828960
05047,Franklin,AR,497498,513990
05049,Fulton,AR,161361,174769
05051,Garland,AR,2781810,2888921
05053,Grant,AR,322554,332099
05055,Greene,AR,1134829,1272462
05057,Hempstead,AR,822947,810400
05059,Hot Spring,AR,749911,780650
05061,Howard,AR,666589,688253
05063,Independence,AR,1754286,1842588
05065,Izard,AR,270399,272589
05067,Jackson,AR,528918,506839
05069,Jefferson,AR,3444187,3469016
05071,Johnson,AR,672426,699409
05073,Lafayette,AR,183558,182348
05075,Lawrence,AR,425260,421204
05077,Lee,AR,236621,202647
05079,Lincoln,AR,265439,252824
05081,Little River,AR,515935,511814
05083,Logan,AR,542472,580878
05085,Lonoke,AR,1113735,1119066
05087,Madison,AR,344354,343515
05089,Marion,AR,295787,318049
05091,Miller,AR,1298550,1300709
05093,Mississippi,AR,2010564,1865026
05095,Monroe,AR,206347,217053
05097,Montgomery,AR,162755,169705
05099,Nevada,AR,240216,267852
05101,Newton,AR,105024,119277
05103,Ouachita,AR,566972,580773
05105,Perry,AR,135637,135193
05107,Phillips,AR,569801,544344
05109,Pike,AR,251501,274259
05111,Poinsett,AR,616554,618203
05113,Polk,AR,454974,477915
05115,Pope,AR,2423466,2548811
05117,Prairie,AR,203515,188115
05119,Pulaski,AR,23803524,25313059
05121,Randolph,AR,433095,407966
05123,St. Francis,AR,735665,723504
05125,Saline,AR,1692966,1780020
05127,Scott,AR,236689,249785
05129,Searcy,AR,139187,142222
05131,Sebastian,AR,6377021,6583345
05133,Sevier,AR,423479,438027
05135,Sharp,AR,305532,315845
05137,Stone,AR,215681,229329
05139,Union,AR,1997208,2004596
05141,Van Buren,AR,266517,268995
05143,Washington,AR,7956912,8450901
05145,White,AR,1812133,1856015
05147,Woodruff,AR,198065,186215
05149,Yell,AR,583753,589487
06001,Alameda,CA,86759897,88531458
06003,Alpine,CA,78131,79197
06005,Amador,CA,1636165,1615188
06007,Butte,CA,7237914,7395227
06009,Calaveras,CA,1173038,1153564
06011,Colusa,CA,867310,894007
06013,Contra Costa,CA,71374693,77435260
06015,Del Norte,CA,666610,680125
06017,El Dorado,CA,6061352,6182343
06019,Fresno,CA,32709314,33944485
06021,Glenn,CA,858961,914960
06023,Humboldt,CA,4713676,4676410
06025,Imperial,CA,5429442,5902836
06027,Inyo,CA,1015571,1004680
06029,Kern,CA,33320481,35506212
06031,Kings,CA,5267905,5501006
06033,Lake,CA,1589149,1573537
06035,Lassen,CA,928176,950455
06037,Los Angeles,CA,514064136,525750328
06039,Madera,CA,4334990,4637784
06041,Marin,CA,17101741,16968339
06043,Mariposa,CA,552645,584022
06045,Mendocino,CA,2878204,2895964
06047,Merced,CA,7387247,7706492
06049,Modoc,CA,276198,318992
06051,Mono,CA,908522,1001878
06053,Monterey,CA,19859471,20305925
06055,Napa,CA,7578715,7945388
06057,Nevada,CA,3335338,3423585
06059,Orange,CA,182444486,192103881
06061,Placer,CA,14614152,15490891
06063,Plumas,CA,1069464,1039048
06065,Riverside,CA,58028997,62151408
06067,Sacramento,CA,67410369,70866317
06069,San Benito,CA,1778545,1811714
06071,San Bernardino,CA,64061068,67680495
06073,San Diego,CA,164695156,173137412
06075,San Francisco,CA,82046285,86324242
06077,San Joaquin,CA,23637259,24941209
06079,San Luis Obispo,CA,12489631,12899462
