State,County_Name,2005_Poverty_All_Ages,2005_Poverty_Percent_All_Ages,2005_Poverty_Under18,2005_Poverty_Percent_Under18,2005_Median_HH_Income
AL,Alabama,"749,592",16.9,"260,919",24.3,"36,936"
AL,Autauga County,"5,020",10.4,"1,828",14.7,"45,019"
AL,Baldwin County,"18,249",11.4,"6,778",18.9,"42,804"
AL,Barbour County,"5,694",22.4,"2,035",31.5,"29,534"
AL,Bibb County,"3,364",16.6,"1,223",24.2,"34,212"
AL,Blount County,"6,248",11.4,"2,160",16.7,"40,588"
AL,Bullock County,"3,628",38.2,"1,189",46.1,"21,728"
AL,Butler County,"4,722",23.1,"1,655",33.1,"28,058"
AL,Calhoun County,"18,450",16.9,"5,906",23.8,"35,937"
AL,Chambers County,"5,646",16.2,"1,948",23.5,"31,538"
AL,Cherokee County,"3,898",16.2,"1,307",25.5,"33,858"
AL,Chilton County,"6,627",16.1,"2,227",22.6,"36,098"
AL,Choctaw County,"3,567",24.4,"1,101",31.8,"27,512"
AL,Clarke County,"5,618",20.9,"2,146",30.4,"29,531"
AL,Clay County,"2,158",15.8,653,22,"33,512"
AL,Cleburne County,"2,217",15.5,687,21.6,"34,287"
AL,Coffee County,"6,747",15.1,"2,389",22.9,"37,025"
AL,Colbert County,"8,492",15.7,"2,769",23.5,"35,590"
AL,Conecuh County,"3,640",27.7,"1,220",38.8,"24,587"
AL,Coosa County,"2,063",18.7,630,25.9,"31,142"
AL,Covington County,"6,685",18.4,"2,160",26.5,"30,847"
AL,Crenshaw County,"3,177",23.5,"1,073",34.3,"29,410"
AL,Cullman County,"11,578",14.7,"3,525",19.8,"36,693"
AL,Dale County,"7,509",16,"2,988",23.5,"36,422"
AL,Dallas County,"15,247",34.9,"5,908",49.1,"24,936"
AL,DeKalb County,"12,847",19.4,"3,994",25,"31,501"
AL,Elmore County,"8,913",13.1,"3,474",19.9,"45,474"
AL,Escambia County,"7,729",22.2,"2,675",31,"30,600"
AL,Etowah County,"15,975",15.8,"5,327",23.2,"32,973"
AL,Fayette County,"3,185",17.9,"1,072",27,"31,720"
AL,Franklin County,"5,909",19.5,"1,858",26,"29,698"
AL,Geneva County,"5,142",20.3,"1,701",30.6,"29,492"
AL,Greene County,"3,244",33.9,"1,118",43.7,"22,436"
AL,Hale County,"5,133",30.4,"2,029",44.3,"27,535"
AL,Henry County,"2,881",17.6,944,25.5,"33,191"
AL,Houston County,"13,792",14.9,"5,072",22,"37,947"
AL,Jackson County,"9,932",18.8,"3,322",27.9,"32,208"
AL,Jefferson County,"100,709",15.7,"37,317",24.2,"41,821"
AL,Lamar County,"2,511",17,780,24.7,"30,373"
AL,Lauderdale County,"15,862",18.5,"5,006",27.2,"33,448"
AL,Lawrence County,"5,477",16,"1,768",22,"37,871"
AL,Lee County,"24,339",20.6,"4,584",17.8,"35,320"
AL,Limestone County,"8,764",13,"2,791",17.4,"40,745"
AL,Lowndes County,"3,838",29.5,"1,380",38.9,"25,590"
AL,Macon County,"6,493",32,"2,035",40.1,"23,500"
