STATE,ZIP,COUNTYNAME,,STCOUNTYFP,CLASSFP
AL,36003,Autauga County,,1001,H1
AL,36006,Autauga County,,1001,H1
AL,36067,Autauga County,,1001,H1
AL,36066,Autauga County,,1001,H1
AL,36703,Autauga County,,1001,H1
AL,36701,Autauga County,,1001,H1
AL,36091,Autauga County,,1001,H1
AL,36051,Autauga County,,1001,H1
AL,36068,Autauga County,,1001,H1
AL,36008,Autauga County,,1001,H1
AL,36022,Autauga County,,1001,H1
AL,36749,Autauga County,,1001,H1
AL,36758,Autauga County,,1001,H1
AL,36550,Baldwin County,,1003,H1
AL,36551,Baldwin County,,1003,H1
AL,36527,Baldwin County,,1003,H1
AL,36577,Baldwin County,,1003,H1
AL,36559,Baldwin County,,1003,H1
AL,36536,Baldwin County,,1003,H1
AL,36576,Baldwin County,,1003,H1
AL,36579,Baldwin County,,1003,H1
AL,36502,Baldwin County,,1003,H1
AL,36578,Baldwin County,,1003,H1
AL,36533,Baldwin County,,1003,H1
AL,36564,Baldwin County,,1003,H1
AL,36561,Baldwin County,,1003,H1
AL,36580,Baldwin County,,1003,H1
AL,36535,Baldwin County,,1003,H1
AL,36547,Baldwin County,,1003,H1
AL,36549,Baldwin County,,1003,H1
AL,36530,Baldwin County,,1003,H1
AL,36562,Baldwin County,,1003,H1
AL,36532,Baldwin County,,1003,H1
AL,36526,Baldwin County,,1003,H1
AL,36555,Baldwin County,,1003,H1
AL,36511,Baldwin County,,1003,H1
AL,36567,Baldwin County,,1003,H1
AL,36574,Baldwin County,,1003,H1
AL,36480,Baldwin County,,1003,H1
AL,36507,Baldwin County,,1003,H1
AL,36542,Baldwin County,,1003,H1
AL,36017,Barbour County,,1005,H1
AL,36016,Barbour County,,1005,H1
AL,36311,Barbour County,,1005,H1
AL,36374,Barbour County,,1005,H1
AL,36048,Barbour County,,1005,H1
AL,36053,Barbour County,,1005,H1
AL,36317,Barbour County,,1005,H1
AL,36027,Barbour County,,1005,H1
AL,36072,Barbour County,,1005,H1
AL,35035,Bibb County,,1007,H1
AL,35034,Bibb County,,1007,H1
AL,36750,Bibb County,,1007,H1
AL,35115,Bibb County,,1007,H1
AL,35188,Bibb County,,1007,H1
AL,36793,Bibb County,,1007,H1
AL,35074,Bibb County,,1007,H1
AL,35042,Bibb County,,1007,H1
AL,35111,Bibb County,,1007,H1
AL,35184,Bibb County,,1007,H1
AL,36792,Bibb County,,1007,H1
AL,35456,Bibb County,,1007,H1
AL,35031,Blount County,,1009,H1
AL,35121,Blount County,,1009,H1
AL,35063,Blount County,,1009,H1
AL,35016,Blount County,,1009,H1
AL,35079,Blount County,,1009,H1
AL,35097,Blount County,,1009,H1
AL,35133,Blount County,,1009,H1
AL,35957,Blount County,,1009,H1
AL,35126,Blount County,,1009,H1
AL,35049,Blount County,,1009,H1
AL,35172,Blount County,,1009,H1
AL,35952,Blount County,,1009,H1
AL,35180,Blount County,,1009,H1
AL,35146,Blount County,,1009,H1
AL,35976,Blount County,,1009,H1
AL,35980,Blount County,,1009,H1
AL,35013,Blount County,,1009,H1
AL,36830,Bullock County,,1011,H1
AL,36031,Bullock County,,1011,H1
AL,36089,Bullock County,,1011,H1
AL,36029,Bullock County,,1011,H1
AL,36081,Bullock County,,1011,H1
AL,36860,Bullock County,,1011,H1
AL,36053,Bullock County,,1011,H1
AL,36005,Bullock County,,1011,H1
AL,36052,Bullock County,,1011,H1
AL,36037,Butler County,,1013,H1
AL,36033,Butler County,,1013,H1
AL,36032,Butler County,,1013,H1
AL,36456,Butler County,,1013,H1
AL,36474,Butler County,,1013,H1
AL,36030,Butler County,,1013,H1
AL,36042,Butler County,,1013,H1
AL,36071,Butler County,,1013,H1
AL,36015,Butler County,,1013,H1
AL,36206,Calhoun County,,1015,H1
AL,36204,Calhoun County,,1015,H1
AL,35096,Calhoun County,,1015,H1
AL,36279,Calhoun County,,1015,H1
AL,36205,Calhoun County,,1015,H1
AL,36260,Calhoun County,,1015,H1
AL,36271,Calhoun County,,1015,H1
AL,36272,Calhoun County,,1015,H1
AL,36201,Calhoun County,,1015,H1
AL,36203,Calhoun County,,1015,H1
AL,36207,Calhoun County,,1015,H1
AL,36265,Calhoun County,,1015,H1
AL,36202,Calhoun County,,1015,H1
AL,36257,Calhoun County,,1015,H1
AL,36253,Calhoun County,,1015,H1
AL,36254,Calhoun County,,1015,H1
AL,35905,Calhoun County,,1015,H1
AL,36250,Calhoun County,,1015,H1
AL,36277,Calhoun County,,1015,H1
AL,36852,Chambers County,,1017,H1
AL,36855,Chambers County,,1017,H1
AL,36879,Chambers County,,1017,H1
AL,36274,Chambers County,,1017,H1
AL,36862,Chambers County,,1017,H1
AL,36863,Chambers County,,1017,H1
AL,36801,Chambers County,,1017,H1
AL,36854,Chambers County,,1017,H1
AL,36276,Chambers County,,1017,H1
AL,36850,Chambers County,,1017,H1
AL,35973,Cherokee County,,1019,H1
AL,35959,Cherokee County,,1019,H1
AL,35901,Cherokee County,,1019,H1
AL,35984,Cherokee County,,1019,H1
AL,36272,Cherokee County,,1019,H1
AL,35967,Cherokee County,,1019,H1
AL,35961,Cherokee County,,1019,H1
AL,35903,Cherokee County,,1019,H1
AL,36275,Cherokee County,,1019,H1
AL,35960,Cherokee County,,1019,H1
AL,35983,Cherokee County,,1019,H1
AL,36006,Chilton County,,1021,H1
AL,35115,Chilton County,,1021,H1
AL,35040,Chilton County,,1021,H1
AL,36790,Chilton County,,1021,H1
AL,36758,Chilton County,,1021,H1
AL,36793,Chilton County,,1021,H1
AL,36750,Chilton County,,1021,H1
AL,36051,Chilton County,,1021,H1
AL,35046,Chilton County,,1021,H1
AL,35045,Chilton County,,1021,H1
AL,35171,Chilton County,,1021,H1
AL,36792,Chilton County,,1021,H1
